Hayley Kiyoko,Los Angeles CA,1
King Princess,Brooklyn NY,1
Janelle Monae,Atlanta GA,1
Kehlani,Oakland CA,1
Tegan and Sara,Calgary Alberta,3
Mary Lambert,Seattle WA,1
